"chrom" "begin" "end" "loess" "wind_2mb" "loess_sd" "wd_sd" "mkr" "chr_length" "chr_type" "rel_pos" "pos_group" "feat_length_CDS" "feat_length_SINE" "feat_length_DNA" "feat_length_LINE" "feat_length_LTR" "feat_length_rpt" "feat_length_gc" "occ_length_CDS" "occ_length_SINE" "occ_length_DNA" "occ_length_LINE" "occ_length_LTR" "occ_length_rpt" "occ_length_gc"
"11" "LR999925.1" 2000001 4000000 5.56090909090909 6.11272727272727 0.102416262913128 0.577548108976056 11 16607008 "Autosome" 0.180646658326413 "4" 94168 121806 41357 214647 50036 586606 0.326583 0.047084 0.060903 0.0206785 0.1073235 0.025018 0.293303 0.326583
"12" "LR999925.1" 4000001 6000000 4.47333333333333 4.76416666666667 0.824856277655616 1.0552505806105 12 16607008 "Autosome" 0.301077743805507 "2" 116124 113672 43626 225619 21191 587942 0.323858 0.058062 0.056836 0.021813 0.1128095 0.0105955 0.293971 0.323858
"13" "LR999925.1" 6000001 8000000 1.9475 2.0275 0.276599245944639 0.285544592464494 8 16607008 "Autosome" 0.421508829284601 "1" 143376 102606 38053 168465 29257 490066 0.324281 0.071688 0.051303 0.0190265 0.0842325 0.0146285 0.245033 0.324281
"14" "LR999925.1" 8000001 10000000 2.319 1.81 0.501008981955414 0.748806457711945 10 16607008 "Autosome" 0.541939914763695 "1" 101537 83294 39908 154821 33712 471634 0.317807 0.0507685 0.041647 0.019954 0.0774105 0.016856 0.235817 0.317807
"15" "LR999925.1" 10000001 12000000 3.088 2.124 0.281193883290516 1.55255595712361 5 16607008 "Autosome" 0.662371000242789 "2" 114460 116659 48882 193220 59405 608382 0.325742 0.05723 0.0583295 0.024441 0.09661 0.0297025 0.304191 0.325742
"16" "LR999925.1" 12000001 14000000 2.90555555555556 3.82333333333333 0.60018978479959 1.05161780129475 9 16607008 "Autosome" 0.782802085721883 "3" 65332 165699 47837 252938 35468 686718 0.323169 0.032666 0.0828495 0.0239185 0.126469 0.017734 0.343359 0.323169
"17" "LR999925.1" 14000001 16000000 1.30125 0.974 0.156792629199936 0.844233380055539 8 16607008 "Autosome" 0.903233171200977 "5" 125484 129602 46472 212507 56848 613157 0.330759 0.062742 0.064801 0.023236 0.1062535 0.028424 0.3065785 0.330759
"18" "LR999925.1" 16000001 16607008 NA 0 NA NA 1 16607008 "Autosome" 0.981724372024148 "5" 14057 35304 8795 99409 3465 189580 0.354608 0.023157849649428 0.0581606832199905 0.0144891006378829 0.16376884653909 0.00570832674363435 0.31231878327798 0.354608
"19" "LR999926.1" 1 2000000 6.354 6.18166666666667 0.0207364413533277 0.824582722755375 6 16362069 "Autosome" 0.0611169956562339 "5" 133039 98812 38466 203885 43380 528185 0.343466 0.0665195 0.049406 0.019233 0.1019425 0.02169 0.2640925 0.343466
"20" "LR999926.1" 2000001 4000000 3.78 3.11285714285714 1.93280452538102 2.14423812643492 7 16362069 "Autosome" 0.183350925851737 "4" 65698 161756 58874 293869 46581 767570 0.330335 0.032849 0.080878 0.029437 0.1469345 0.0232905 0.383785 0.330335
"21" "LR999926.1" 4000001 6000000 1.998 1.51 0.623962249570348 1.66030786971038 10 16362069 "Autosome" 0.30558485604724 "2" 126527 100878 40664 171538 27204 489143 0.322006 0.0632635 0.050439 0.020332 0.085769 0.013602 0.2445715 0.322006
"22" "LR999926.1" 6000001 8000000 2.688 1.37 0.114484351186818 1.59055545853223 10 16362069 "Autosome" 0.427818786242742 "1" 116917 103557 56909 216630 57841 620574 0.327111 0.0584585 0.0517785 0.0284545 0.108315 0.0289205 0.310287 0.327111
"23" "LR999926.1" 8000001 10000000 5.792 5.044 2.13875431034048 2.63454550159985 5 16362069 "Autosome" 0.550052716438245 "1" 178760 111051 43091 185785 8901 514249 0.328157 0.08938 0.0555255 0.0215455 0.0928925 0.0044505 0.2571245 0.328157
"24" "LR999926.1" 10000001 12000000 6.742 2.513 0.550409948230509 2.15120663814521 10 16362069 "Autosome" 0.672286646633748 "2" 135925 124558 50626 205137 49077 625026 0.33031 0.0679625 0.062279 0.025313 0.1025685 0.0245385 0.312513 0.33031
"25" "LR999926.1" 12000001 14000000 5.13 5.84333333333333 0.168226038412607 0.783602790534422 3 16362069 "Autosome" 0.794520576829251 "3" 80680 163281 54591 309935 49895 825206 0.335146 0.04034 0.0816405 0.0272955 0.1549675 0.0249475 0.412603 0.335146
"26" "LR999926.1" 14000001 16000000 1.92 6.1 0.458344848340199 0.66 6 16362069 "Autosome" 0.916754507024753 "5" 13505 188014 49679 348541 48074 865968 0.33011 0.0067525 0.094007 0.0248395 0.1742705 0.024037 0.432984 0.33011
"27" "LR999926.1" 16000001 16362069 1.175 0 0.0353553390593274 0 3 16362069 "Autosome" 0.988935751340494 "5" 13653 16212 4347 35492 3486 85425 0.361437 0.0377082821230207 0.0447759957356195 0.0120059988565715 0.0980255144737605 0.00962799908304771 0.235935691815648 0.361437
"28" "LR999927.1" 1 2000000 NA NA NA NA 0 16090551 "Autosome" 0.06214830679198 "5" 112496 112937 44523 390509 54651 795368 0.373176 0.056248 0.0564685 0.0222615 0.1952545 0.0273255 0.397684 0.373176
"29" "LR999927.1" 2000001 4000000 NA NA NA NA 1 16090551 "Autosome" 0.186444858227664 "4" 62033 143022 53640 304447 90468 907290 0.332586 0.0310165 0.071511 0.02682 0.1522235 0.045234 0.453645 0.332586
"30" "LR999927.1" 4000001 6000000 1.31333333333333 0.82 0.0404145188432738 0.942708862799115 3 16090551 "Autosome" 0.310741409663348 "2" 65483 94038 43612 241635 64909 686616 0.322847 0.0327415 0.047019 0.021806 0.1208175 0.0324545 0.343308 0.322847
"31" "LR999927.1" 6000001 8000000 1.74777777777778 1.20555555555556 0.50871843336412 1.01877513602256 9 16090551 "Autosome" 0.435037961099033 "1" 61537 80662 37388 153049 47727 466601 0.312304 0.0307685 0.040331 0.018694 0.0765245 0.0238635 0.2333005 0.312304
"32" "LR999927.1" 8000001 10000000 2.13571428571429 1.98952380952381 0.874062763356107 0.649133855152203 21 16090551 "Autosome" 0.559334512534717 "1" 57577 121358 53185 236120 45690 624876 0.320019 0.0287885 0.060679 0.0265925 0.11806 0.022845 0.312438 0.320019
"33" "LR999927.1" 10000001 12000000 3.23636363636364 3.21181818181818 1.35739657231977 1.5324282572559 11 16090551 "Autosome" 0.683631063970401 "2" 57406 138809 57887 251906 37290 669150 0.320206 0.028703 0.0694045 0.0289435 0.125953 0.018645 0.334575 0.320206
"34" "LR999927.1" 12000001 14000000 6.33 6.44777777777778 1.05760342283864 2.27603151218177 9 16090551 "Autosome" 0.807927615406085 "4" 50897 164947 48431 240157 25856 643763 0.323384 0.0254485 0.0824735 0.0242155 0.1200785 0.012928 0.3218815 0.323384
"35" "LR999927.1" 14000001 16000000 6.37444444444444 5.017 0.280228081708058 1.55588524284052 10 16090551 "Autosome" 0.932224166841769 "5" 82000 172659 69860 322886 59359 837518 0.33842 0.041 0.0863295 0.03493 0.161443 0.0296795 0.418759 0.33842
"36" "LR999927.1" 16000001 16090551 NA NA NA NA 0 16090551 "Autosome" 0.997186236816875 "5" 8495 1176 1672 9857 5397 27219 0.410233 0.0938145354551579 0.0129871564090954 0.0184647325816391 0.108855782928957 0.0596017713774558 0.300593035968681 0.410233
"37" "LR999928.1" 1 2000000 2.25272727272727 2.10111111111111 0.53658346804744 1.25359926256803 12 16000791 "Autosome" 0.0624969415574518 "5" 57651 174881 51718 305755 83675 840212 0.337216 0.0288255 0.0874405 0.025859 0.1528775 0.0418375 0.420106 0.337216
"38" "LR999928.1" 2000001 4000000 3.92333333333333 3.59555555555556 0.387556447501522 0.51271607910985 9 16000791 "Autosome" 0.187490762175445 "4" 40253 145854 52488 280103 22121 672875 0.325036 0.0201265 0.072927 0.026244 0.1400515 0.0110605 0.3364375 0.325036
"39" "LR999928.1" 4000001 6000000 3.77 4.685 0.357323382946037 0.656589673997391 6 16000791 "Autosome" 0.312484582793438 "2" 79287 133048 49769 246486 37923 670802 0.323987 0.0396435 0.066524 0.0248845 0.123243 0.0189615 0.335401 0.323987
"40" "LR999928.1" 6000001 8000000 1.61777777777778 1.22555555555556 0.374458868828666 0.561674085015303 9 16000791 "Autosome" 0.437478403411431 "1" 167999 77357 32953 152225 14605 404005 0.324204 0.0839995 0.0386785 0.0164765 0.0761125 0.0073025 0.2020025 0.324204
"41" "LR999928.1" 8000001 10000000 1.95 1.93 0.56725214851951 1.06960272998904 9 16000791 "Autosome" 0.562472224029425 "1" 106592 98102 40844 160196 44934 484283 0.322981 0.053296 0.049051 0.020422 0.080098 0.022467 0.2421415 0.322981
"42" "LR999928.1" 10000001 12000000 5.499 5.619 1.7877636557691 2.96488504555123 10 16000791 "Autosome" 0.687466044647418 "2" 49048 120410 37491 258743 27588 606287 0.322307 0.024524 0.060205 0.0187455 0.1293715 0.013794 0.3031435 0.322307
"43" "LR999928.1" 12000001 14000000 5.97333333333333 4.48 1.65132270215929 3.18518445305763 6 16000791 "Autosome" 0.812459865265411 "4" 42741 150362 47051 310203 33202 751861 0.325651 0.0213705 0.075181 0.0235255 0.1551015 0.016601 0.3759305 0.325651
"44" "LR999928.1" 14000001 16000000 2.77555555555556 3.003 0.209350848524141 0.893545372845349 10 16000791 "Autosome" 0.937453685883404 "5" 84687 152095 40517 236548 33480 639512 0.33514 0.0423435 0.0760475 0.0202585 0.118274 0.01674 0.319756 0.33514
"45" "LR999928.1" 16000001 16000791 NA NA NA NA 0 16000791 "Autosome" 0.999975313720428 "5" 0 0 0 0 0 0 0.379267 0 0 0 0 0 0 0.379267
"46" "LR999929.1" 1 2000000 3.88 0 NA NA 2 15952094 "Autosome" 0.062687726138023 "5" 78949 154897 63712 292313 43412 748011 0.337126 0.0394745 0.0774485 0.031856 0.1461565 0.021706 0.3740055 0.337126
"47" "LR999929.1" 2000001 4000000 4.03666666666667 3.82666666666667 0.783602790534422 3.34049896472568 3 15952094 "Autosome" 0.188063115726374 "4" 39228 146669 54205 303535 55277 750310 0.33066 0.019614 0.0733345 0.0271025 0.1517675 0.0276385 0.375155 0.33066
"48" "LR999929.1" 4000001 6000000 2.34888888888889 1.66 0.908961556453908 0.940571634698814 9 15952094 "Autosome" 0.313438505314725 "2" 84869 123620 49433 231315 59201 705051 0.322365 0.0424345 0.06181 0.0247165 0.1156575 0.0296005 0.3525255 0.322365
"49" "LR999929.1" 6000001 8000000 4.95857142857143 6.25142857142857 1.82348959024018 2.04893816867362 7 15952094 "Autosome" 0.438813894903077 "1" 69864 150452 46374 260709 24211 709265 0.321537 0.034932 0.075226 0.023187 0.1303545 0.0121055 0.3546325 0.321537
"50" "LR999929.1" 8000001 10000000 1.259 1.69888888888889 1.35637138473699 2.47250098303542 10 15952094 "Autosome" 0.564189284491428 "1" 111104 124653 53604 247480 33653 654732 0.321394 0.055552 0.0623265 0.026802 0.12374 0.0168265 0.327366 0.321394
"51" "LR999929.1" 10000001 12000000 2.334 2.678 0.561676063225059 1.21452459835114 5 15952094 "Autosome" 0.689564674079779 "2" 57216 150705 52223 368090 57773 906888 0.330909 0.028608 0.0753525 0.0261115 0.184045 0.0288865 0.453444 0.330909
"52" "LR999929.1" 12000001 14000000 3.03 1.705 0.299666481275434 1.23 4 15952094 "Autosome" 0.81494006366813 "4" 131512 122611 54689 209797 45075 608722 0.327603 0.065756 0.0613055 0.0273445 0.1048985 0.0225375 0.304361 0.327603
"53" "LR999929.1" 14000001 15952094 3.32333333333333 6.4375 0.0321455025366432 0.645 4 15952094 "Autosome" 0.938813894903077 "5" 72294 178166 54760 323002 44313 799097 0.343727 0.0370340772524274 0.0912691704395383 0.028051927827246 0.165464368006869 0.0227002388204666 0.409353750382922 0.343727
"54" "LR999930.1" 1 2000000 1.14571428571429 1.21166666666667 0.251320323018065 0.499296171291816 8 15715213 "Autosome" 0.0636326405502744 "5" 31204 146527 48543 321322 42922 731841 0.332994 0.015602 0.0732635 0.0242715 0.160661 0.021461 0.3659205 0.332994
"55" "LR999930.1" 2000001 4000000 1.85714285714286 1.68142857142857 0.262596920882829 0.502706958092173 7 15715213 "Autosome" 0.190897858018215 "4" 113142 103646 38385 177430 16881 464486 0.31773 0.056571 0.051823 0.0191925 0.088715 0.0084405 0.232243 0.31773
"56" "LR999930.1" 4000001 6000000 1.45666666666667 1.01333333333333 0.241315837303177 0.897904968987996 3 15715213 "Autosome" 0.318163075486155 "2" 75331 114498 50431 203096 23339 578649 0.321131 0.0376655 0.057249 0.0252155 0.101548 0.0116695 0.2893245 0.321131
"57" "LR999930.1" 6000001 8000000 2.47714285714286 2.86285714285714 0.693029924455269 1.02402334422796 7 15715213 "Autosome" 0.445428292954095 "1" 116645 85332 45095 173116 33655 499969 0.313787 0.0583225 0.042666 0.0225475 0.086558 0.0168275 0.2499845 0.313787
"58" "LR999930.1" 8000001 10000000 4.586 3.89 0.790651629986304 0 5 15715213 "Autosome" 0.572693510422035 "1" 93319 104078 44444 177676 47780 545392 0.318904 0.0466595 0.052039 0.022222 0.088838 0.02389 0.272696 0.318904
"59" "LR999930.1" 10000001 12000000 6.4425 3.2625 0.683294714355868 3.8608321641843 4 15715213 "Autosome" 0.699958727889975 "2" 42255 162773 64145 302125 43668 756435 0.324445 0.0211275 0.0813865 0.0320725 0.1510625 0.021834 0.3782175 0.324445
"60" "LR999930.1" 12000001 14000000 7.20833333333333 4.85333333333333 0.556252340819045 4.12112444202631 6 15715213 "Autosome" 0.827223945357915 "4" 86172 158616 70469 300473 53086 823641 0.334594 0.043086 0.079308 0.0352345 0.1502365 0.026543 0.4118205 0.334594
"61" "LR999930.1" 14000001 15715213 5.505 1.93 0.175973482850874 1.79295844904448 5 15715213 "Autosome" 0.945428292954095 "5" 35188 150573 42134 264119 58522 676916 0.339553 0.020515236300098 0.0877867646758741 0.0245648791141392 0.153986123006297 0.0341193775933368 0.39465419163684 0.339553
"62" "LR999931.1" 1 2000000 5.475 3.238 0.280297461042134 0.217876111586378 5 15572524 "Autosome" 0.0642156981103384 "5" 88355 145380 49063 294985 45801 737397 0.344759 0.0441775 0.07269 0.0245315 0.1474925 0.0229005 0.3686985 0.344759
"63" "LR999931.1" 2000001 4000000 6.77666666666667 8.46777777777778 0.663287268082239 1.94748413201352 9 15572524 "Autosome" 0.192647030115349 "4" 38181 179761 56555 257585 33429 729890 0.330118 0.0190905 0.0898805 0.0282775 0.1287925 0.0167145 0.364945 0.330118
"64" "LR999931.1" 4000001 6000000 4.98 6.28333333333333 0.511390261933096 3.08479280773712 6 15572524 "Autosome" 0.32107836212036 "2" 151865 110756 36075 154887 20677 464284 0.328829 0.0759325 0.055378 0.0180375 0.0774435 0.0103385 0.232142 0.328829
"65" "LR999931.1" 6000001 8000000 3.90833333333333 3.815 0.869722177862947 1.79976387340117 6 15572524 "Autosome" 0.449509694125371 "1" 149552 84809 47992 177022 25578 494571 0.323777 0.074776 0.0424045 0.023996 0.088511 0.012789 0.2472855 0.323777
"66" "LR999931.1" 8000001 10000000 2.11363636363636 2.06363636363636 0.484443448242883 0.640332300095392 11 15572524 "Autosome" 0.577941026130382 "1" 148939 87824 32134 134650 21668 396599 0.323491 0.0744695 0.043912 0.016067 0.067325 0.010834 0.1982995 0.323491
"67" "LR999931.1" 10000001 12000000 1.91222222222222 1.93888888888889 1.09216273716166 1.29665381313252 9 15572524 "Autosome" 0.706372358135393 "3" 218495 78283 38182 177850 26734 449750 0.328862 0.1092475 0.0391415 0.019091 0.088925 0.013367 0.224875 0.328862
"68" "LR999931.1" 12000001 14000000 1.97 2.2 1.04907578372585 1.81352695044766 11 15572524 "Autosome" 0.834803690140404 "4" 42079 142784 56317 227213 25304 633933 0.325357 0.0210395 0.071392 0.0281585 0.1136065 0.012652 0.3169665 0.325357
"69" "LR999931.1" 14000001 15572524 3.36 3.5825 0.157162336455017 0.775 4 15572524 "Autosome" 0.949509694125371 "5" 54616 89972 23540 184328 38876 446080 0.338565 0.0347314254027284 0.0572150250171063 0.0149695648524283 0.117217924813866 0.0247220392184793 0.283671346192491 0.338565
"70" "LR999932.1" 1 2000000 7.626 6.07 0.00547722557505154 0.422563604679816 6 15426761 "Autosome" 0.0648224536569925 "5" 61476 176976 57572 312117 56661 769795 0.336339 0.030738 0.088488 0.028786 0.1560585 0.0283305 0.3848975 0.336339
"71" "LR999932.1" 2000001 4000000 6.71666666666667 0 0.681199921706788 0 3 15426761 "Autosome" 0.194467296148556 "4" 74752 191431 74508 355906 48762 909846 0.339295 0.037376 0.0957155 0.037254 0.177953 0.024381 0.454923 0.339295
"72" "LR999932.1" 4000001 6000000 2.7625 1.48 1.41219391963946 0.173205080756888 4 15426761 "Autosome" 0.32411213864012 "2" 136002 155397 66197 287045 25224 735071 0.328986 0.068001 0.0776985 0.0330985 0.1435225 0.012612 0.3675355 0.328986
"73" "LR999932.1" 6000001 8000000 0.676666666666667 1.39666666666667 0.0937372213513216 0.675475141412818 6 15426761 "Autosome" 0.453756981131684 "1" 124701 89451 55679 215500 31890 552931 0.321742 0.0623505 0.0447255 0.0278395 0.10775 0.015945 0.2764655 0.321742
"74" "LR999932.1" 8000001 10000000 0.861428571428571 0.735714285714286 0.238077618395666 0.499494983053122 7 15426761 "Autosome" 0.583401823623248 "1" 62344 90514 37280 185470 48634 545780 0.310988 0.031172 0.045257 0.01864 0.092735 0.024317 0.27289 0.310988
"75" "LR999932.1" 10000001 12000000 0.62875 0 0.356788753025813 0 8 15426761 "Autosome" 0.713046666114812 "3" 80508 98725 36061 196131 31511 558572 0.321043 0.040254 0.0493625 0.0180305 0.0980655 0.0157555 0.279286 0.321043
"76" "LR999932.1" 12000001 14000000 5.045 11.39 0.176776695296637 0 2 15426761 "Autosome" 0.842691508606376 "4" 77309 165544 64885 304589 58523 790234 0.327094 0.0386545 0.082772 0.0324425 0.1522945 0.0292615 0.395117 0.327094
"77" "LR999932.1" 14000001 15426761 4.8175 8.31 0.0221735578260834 4.31349046596837 5 15426761 "Autosome" 0.953756981131684 "5" 83625 106691 41781 206816 25087 498127 0.351394 0.0586117787071556 0.0747784667509134 0.0292838113741545 0.144954901346476 0.0175831831680288 0.349131354165133 0.351394
"78" "LR999933.1" 1 2000000 6.68 5.75666666666667 0.0561248608016089 0.424578222082418 6 15296561 "Autosome" 0.0653742040449484 "5" 49594 188203 61303 343140 59679 889813 0.338157 0.024797 0.0941015 0.0306515 0.17157 0.0298395 0.4449065 0.338157
"79" "LR999933.1" 2000001 4000000 6.29 7.06 0.17058722109232 2.6421771325935 3 15296561 "Autosome" 0.196122546760674 "4" 67164 173134 47855 284791 39463 737603 0.326144 0.033582 0.086567 0.0239275 0.1423955 0.0197315 0.3688015 0.326144
"80" "LR999933.1" 4000001 6000000 3.519 1.491 0.424537657013159 0.50544699689153 10 15296561 "Autosome" 0.326870889476399 "2" 61821 147145 57027 252443 31254 661405 0.320224 0.0309105 0.0735725 0.0285135 0.1262215 0.015627 0.3307025 0.320224
"81" "LR999933.1" 6000001 8000000 2.946 1.52 1.53356773570651 0.264858452762981 5 15296561 "Autosome" 0.457619232192125 "1" 95018 90704 30738 179070 37696 486936 0.315228 0.047509 0.045352 0.015369 0.089535 0.018848 0.243468 0.315228
"82" "LR999933.1" 8000001 10000000 1.13571428571429 1.045 0.491038370515667 0.197162564710132 14 15296561 "Autosome" 0.58836757490785 "1" 77424 106246 42699 216660 27572 542299 0.317506 0.038712 0.053123 0.0213495 0.10833 0.013786 0.2711495 0.317506
"83" "LR999933.1" 10000001 12000000 2.75666666666667 2.44166666666667 0.28654260881528 1.00630843515627 6 15296561 "Autosome" 0.719115917623576 "3" 129182 115481 56056 206884 55404 612741 0.328555 0.064591 0.0577405 0.028028 0.103442 0.027702 0.3063705 0.328555
"84" "LR999933.1" 12000001 14000000 4.6275 4.97 1.22630397070687 3.22648932019515 8 15296561 "Autosome" 0.849864260339301 "4" 47219 175446 54075 303596 47889 803816 0.328822 0.0236095 0.087723 0.0270375 0.151798 0.0239445 0.401908 0.328822
"85" "LR999933.1" 14000001 15296561 5.76166666666667 5.24428571428571 0.0523131595936114 1.03577438249291 7 15296561 "Autosome" 0.957619232192125 "5" 40413 82262 25536 172341 20012 395506 0.340802 0.0311693780701409 0.0634463014081096 0.0196951782446025 0.132921628831964 0.0154346768104239 0.30504233892582 0.340802
"86" "LR999934.1" 1 2000000 5.96 6.5925 0.00999999999999979 0.938522775429558 4 14945938 "Autosome" 0.0669078447936824 "5" 41664 186181 63175 328988 36343 825767 0.334681 0.020832 0.0930905 0.0315875 0.164494 0.0181715 0.4128835 0.334681
"87" "LR999934.1" 2000001 4000000 5.75 NA NA NA 1 14945938 "Autosome" 0.200723467473236 "3" 25121 92500 84282 476499 75408 1201524 0.34593 0.0125605 0.04625 0.042141 0.2382495 0.037704 0.600762 0.34593
"88" "LR999934.1" 4000001 6000000 7.085 0 0.134350288425444 0 2 14945938 "Autosome" 0.334539090152789 "2" 39726 111006 83335 456383 68280 1140720 0.3371 0.019863 0.055503 0.0416675 0.2281915 0.03414 0.57036 0.3371
"89" "LR999934.1" 6000001 8000000 5.22333333333333 2.94 1.35655200170629 1.10851251684408 3 14945938 "Autosome" 0.468354712832343 "1" 50538 172512 69049 318332 45057 876395 0.330473 0.025269 0.086256 0.0345245 0.159166 0.0225285 0.4381975 0.330473
"90" "LR999934.1" 8000001 10000000 4.2675 4.1225 1.12748614182171 0.911788535425475 4 14945938 "Autosome" 0.602170335511896 "2" 110708 140064 69956 254274 42517 711591 0.327718 0.055354 0.070032 0.034978 0.127137 0.0212585 0.3557955 0.327718
"91" "LR999934.1" 10000001 12000000 2.7475 3.76 2.13402871851074 2.09795819105829 8 14945938 "Autosome" 0.73598595819145 "3" 137554 152318 63315 269659 29452 720659 0.337467 0.068777 0.076159 0.0316575 0.1348295 0.014726 0.3603295 0.337467
"92" "LR999934.1" 12000001 14000000 1.89 2.12 1.21008264180592 2.18899520328392 3 14945938 "Autosome" 0.869801580871003 "4" 101204 189275 62812 313381 37925 833295 0.340871 0.050602 0.0946375 0.031406 0.1566905 0.0189625 0.4166475 0.340871
"93" "LR999934.1" 14000001 14945938 NA 4.64 NA NA 1 14945938 "Autosome" 0.968354712832343 "5" 48426 75235 37906 139033 21388 364390 0.348981 0.0511936300264922 0.0795348109495548 0.0400723937509646 0.146978977480554 0.0226103613556068 0.385215521524667 0.348981
"94" "LR999935.1" 1 2000000 4.0475 4.728 0.148856754409511 1.74175773286643 5 14868897 "Autosome" 0.0672545179376789 "5" 121380 112464 39614 241523 48021 605379 0.345508 0.06069 0.056232 0.019807 0.1207615 0.0240105 0.3026895 0.345508
"95" "LR999935.1" 2000001 4000000 3.232 0.73 0.698691634413924 1.00905896755343 5 14868897 "Autosome" 0.201763486558552 "3" 85734 127371 44933 250656 24982 609386 0.326293 0.042867 0.0636855 0.0224665 0.125328 0.012491 0.304693 0.326293
"96" "LR999935.1" 4000001 6000000 4.48272727272727 4.76909090909091 0.536974690448086 1.75607775764887 11 14868897 "Autosome" 0.336272455179426 "2" 66228 124415 43492 181725 14905 495170 0.325335 0.033114 0.0622075 0.021746 0.0908625 0.0074525 0.247585 0.325335
"97" "LR999935.1" 6000001 8000000 3.30666666666667 2.88666666666667 0.737934053060751 0.902101250784338 6 14868897 "Autosome" 0.470781423800299 "1" 224335 66271 33913 143844 17860 418599 0.326796 0.1121675 0.0331355 0.0169565 0.071922 0.00893 0.2092995 0.326796
"98" "LR999935.1" 8000001 10000000 4.24125 4.4875 0.380805068243583 0.827107697254198 8 14868897 "Autosome" 0.605290392421173 "2" 110410 113991 47323 200282 28350 582345 0.322991 0.055205 0.0569955 0.0236615 0.100141 0.014175 0.2911725 0.322991
"99" "LR999935.1" 10000001 12000000 3.993 3.423 1.38095015599164 0.860491461640123 10 14868897 "Autosome" 0.739799361042046 "3" 96536 144006 56411 210464 32759 628618 0.327179 0.048268 0.072003 0.0282055 0.105232 0.0163795 0.314309 0.327179
"100" "LR999935.1" 12000001 14000000 5.404 6.148 1.07272083973418 1.64859637267586 5 14868897 "Autosome" 0.87430832966292 "4" 86494 136291 47689 200970 38396 580741 0.333681 0.043247 0.0681455 0.0238445 0.100485 0.019198 0.2903705 0.333681
"101" "LR999935.1" 14000001 14868897 3.74 3.866 0.201494416796099 1.07353621271013 5 14868897 "Autosome" 0.970781423800299 "5" 9803 57908 23096 105265 12572 270466 0.338626 0.011282119744918 0.0666454136681333 0.0265808260357672 0.121147846062307 0.0144689186405293 0.311275099350096 0.338626
"102" "LR999936.1" 1 2000000 4.38125 4.26 0.453224558028357 1.07609246814574 9 14774369 "Autosome" 0.0676848195682672 "5" 94357 128347 61660 246555 22874 620979 0.339898 0.0471785 0.0641735 0.03083 0.1232775 0.011437 0.3104895 0.339898
